"year","INEGI","ENTIDAD","POB","TOTAL","TASA_TOTAL"
2014,32,"ZACATECAS",1584738,114,7.2
2015,1,"AGUASCALIENTES",1331825,38,2.9
2015,2,"BAJA CALIFORNIA",3357794,831,24.7
2015,3,"BAJA CALIFORNIA SUR",719846,151,21
2015,4,"CAMPECHE",916832,53,5.8
2015,7,"CHIAPAS",5307819,538,10.1
2015,8,"CHIHUAHUA",3616481,945,26.1
2015,9,"CIUDAD DE MÉXICO",9058734,854,9.4
2015,5,"COAHUILA DE ZARAGOZA",3000556,294,9.8
2015,6,"COLIMA",721696,167,23.1
2015,10,"DURANGO",1781575,238,13.4
2015,11,"GUANAJUATO",5930618,879,14.8
2015,12,"GUERRERO",3576592,2017,56.4
2015,13,"HIDALGO",2899495,146,5
2015,14,"JALISCO",7963314,1019,12.8
2015,15,"MÉXICO",16453628,2081,12.6
2015,16,"MICHOACÁN DE OCAMPO",4644732,777,16.7
2015,17,"MORELOS",1930505,495,25.6
2015,18,"NAYARIT",1195482,83,6.9
2015,19,"NUEVO LEÓN",5205425,451,8.7
2015,20,"OAXACA",4019224,209,5.2
2015,21,"PUEBLA",6274482,499,8
2015,22,"QUERÉTARO",2069556,139,6.7
2015,23,"QUINTANA ROO",1524873,228,15
2015,24,"SAN LUIS POTOSÍ",2758239,248,9
2015,25,"SINALOA",3015790,855,28.4
2015,26,"SONORA",2884754,613,21.2
2015,27,"TABASCO",2426269,241,9.9
2015,28,"TAMAULIPAS",3494719,533,15.3
2015,29,"TLAXCALA",1295194,59,4.6
2015,30,"VERACRUZ DE IGNACIO DE LA LLAVE",8241248,565,6.9
2015,31,"YUCATÁN",2128802,53,2.5
2015,32,"ZACATECAS",1601701,232,14.5
2016,1,"AGUASCALIENTES",1355321,39,2.9
2016,2,"BAJA CALIFORNIA",3403335,1180,34.7
2016,3,"BAJA CALIFORNIA SUR",736995,216,29.3
2016,4,"CAMPECHE",933436,84,9
2016,7,"CHIAPAS",5393944,500,9.3
2016,8,"CHIHUAHUA",3649416,1232,33.8
2016,9,"CIUDAD DE MÉXICO",9053990,952,10.5
2016,5,"COAHUILA DE ZARAGOZA",3043062,226,7.4
2016,6,"COLIMA",734663,524,71.3
2016,10,"DURANGO",1801963,238,13.2
2016,11,"GUANAJUATO",5997487,961,16
2016,12,"GUERRERO",3597311,2234,62.1
2016,13,"HIDALGO",2938756,156,5.3
2016,14,"JALISCO",8055955,1153,14.3
2016,15,"MÉXICO",16658503,2109,12.7
2016,16,"MICHOACÁN DE OCAMPO",4684829,1287,27.5
2016,17,"MORELOS",1954717,616,31.5
2016,18,"NAYARIT",1214627,40,3.3
2016,19,"NUEVO LEÓN",5294203,644,12.2
2016,20,"OAXACA",4046494,805,19.9
2016,21,"PUEBLA",6345952,593,9.3
2016,22,"QUERÉTARO",2113731,119,5.6
2016,23,"QUINTANA ROO",1564920,165,10.5
2016,24,"SAN LUIS POTOSÍ",2781457,314,11.3
2016,25,"SINALOA",3049383,961,31.5
2016,26,"SONORA",2922666,660,22.6
2016,27,"TABASCO",2457373,303,12.3
2016,28,"TAMAULIPAS",3527104,595,16.9
2016,29,"TLAXCALA",1314415,77,5.9
2016,30,"VERACRUZ DE IGNACIO DE LA LLAVE",8316599,1258,15.1
2016,31,"YUCATÁN",2155883,51,2.4
2016,32,"ZACATECAS",1616675,460,28.5
2017,1,"AGUASCALIENTES",1375782,82,6
2017,2,"BAJA CALIFORNIA",3462872,2094,60.5
2017,3,"BAJA CALIFORNIA SUR",754270,610,80.9
2017,4,"CAMPECHE",950458,67,7
2017,7,"CHIAPAS",5479352,504,9.2
2017,8,"CHIHUAHUA",3689398,1577,42.7
2017,9,"CIUDAD DE MÉXICO",9049086,1085,12
2017,5,"COAHUILA DE ZARAGOZA",3087852,231,7.5
2017,6,"COLIMA",747603,702,93.9
2017,10,"DURANGO",1819494,225,12.4
2017,11,"GUANAJUATO",6058569,1096,18.1
2017,12,"GUERRERO",3614241,2331,64.5
2017,13,"HIDALGO",2976979,206,6.9
2017,14,"JALISCO",8149170,1369,16.8
2017,15,"MÉXICO",16861082,2096,12.4
2017,16,"MICHOACÁN DE OCAMPO",4721848,1278,27.1
2017,17,"MORELOS",1977946,602,30.4
2017,18,"NAYARIT",1233716,255,20.7
2017,19,"NUEVO LEÓN",5375246,656,12.2
2017,20,"OAXACA",4072328,912,22.4
2017,21,"PUEBLA",6413391,921,14.4
2017,22,"QUERÉTARO",2156167,176,8.2
2017,23,"QUINTANA ROO",1605362,363,22.6
2017,24,"SAN LUIS POTOSÍ",2803692,469,16.7
2017,25,"SINALOA",3077430,1332,43.3
2017,26,"SONORA",2961810,759,25.6
2017,27,"TABASCO",2486932,416,16.7
2017,28,"TAMAULIPAS",3559268,805,22.6
2017,29,"TLAXCALA",1331372,122,9.2
2017,30,"VERACRUZ DE IGNACIO DE LA LLAVE",8376971,1822,21.8
2017,31,"YUCATÁN",2182255,46,2.1
2017,32,"ZACATECAS",1629789,562,34.5
2018,1,"AGUASCALIENTES",1395794,79,5.7
2018,2,"BAJA CALIFORNIA",3521242,2824,80.2
2018,3,"BAJA CALIFORNIA SUR",771294,162,21
2018,4,"CAMPECHE",967319,74,7.7
2018,7,"CHIAPAS",5563869,583,10.5
2018,8,"CHIHUAHUA",3727984,1851,49.7
2018,9,"CIUDAD DE MÉXICO",9041395,1265,14
2018,5,"COAHUILA DE ZARAGOZA",3132017,241,7.7
2018,6,"COLIMA",760333,629,82.7
2018,10,"DURANGO",1836460,184,10
2018,11,"GUANAJUATO",6117205,2630,43
2018,12,"GUERRERO",3629733,2255,62.1
2018,13,"HIDALGO",3014258,223,7.4
2018,14,"JALISCO",8238991,1994,24.2
2018,15,"MÉXICO",17056666,2458,14.4
2018,16,"MICHOACÁN DE OCAMPO",4757482,1359,28.6
2018,17,"MORELOS",2000527,721,36
2018,18,"NAYARIT",1252363,333,26.6
2018,19,"NUEVO LEÓN",5454848,825,15.1
2018,20,"OAXACA",4096998,1012,24.7
2018,21,"PUEBLA",6478819,1137,17.5
2018,22,"QUERÉTARO",2197938,179,8.1
2018,23,"QUINTANA ROO",1645237,771,46.9
2018,24,"SAN LUIS POTOSÍ",2825157,484,17.1
2018,25,"SINALOA",3104610,1011,32.6
2018,26,"SONORA",3000127,776,25.9
2018,27,"TABASCO",2515926,503,20
2018,28,"TAMAULIPAS",3590486,864,24.1
2018,29,"TLAXCALA",1347932,127,9.4
2018,30,"VERACRUZ DE IGNACIO DE LA LLAVE",8434163,1464,17.4
2018,31,"YUCATÁN",2208236,55,2.5
2018,32,"ZACATECAS",1642388,581,35.4
