"year","INEGI","ENTIDAD","POB","TOTAL","TASA_TOTAL"
2001,4,"CAMPECHE",717580,52,7.2
2001,7,"CHIAPAS",4056667,1252,30.9
2001,8,"CHIHUAHUA",3122063,480,15.4
2001,9,"CIUDAD DE MEXICO",8694150,807,9.3
2001,5,"COAHUILA",2377883,118,5
2001,6,"COLIMA",551107,56,10.2
2001,10,"DURANGO",1486134,321,21.6
2001,11,"GUANAJUATO",4785445,233,4.9
2001,12,"GUERRERO",3140287,1255,40
2001,13,"HIDALGO",2304623,148,6.4
2001,14,"JALISCO",6514205,488,7.5
2001,15,"MEXICO",13426921,2862,21.3
2001,16,"MICHOACAN",4049615,475,11.7
2001,17,"MORELOS",1584996,193,12.2
2001,18,"NAYARIT",941882,127,13.5
2001,19,"NUEVO LEON",3961467,140,3.5
2001,20,"OAXACA",3521582,1311,37.2
2001,21,"PUEBLA",5238757,502,9.6
2001,22,"QUERETARO",1471139,86,5.8
2001,23,"QUINTANA ROO",944911,252,26.7
2001,24,"SAN LUIS POTOSI",2365016,195,8.2
2001,25,"SINALOA",2584506,551,21.3
2001,26,"SONORA",2287914,185,8.1
2001,27,"TABASCO",1947490,169,8.7
2001,28,"TAMAULIPAS",2853540,165,5.8
2001,29,"TLAXCALA",1006183,352,35
2001,30,"VERACRUZ",7065287,467,6.6
2001,31,"YUCATAN",1722120,16,0.9
2001,32,"ZACATECAS",1378314,94,6.8
2002,1,"AGUASCALIENTES",1011950,26,2.6
2002,2,"BAJA CALIFORNIA",2640732,466,17.6
2002,3,"BAJA CALIFORNIA SUR",466394,28,6
2002,4,"CAMPECHE",731445,52,7.1
2002,7,"CHIAPAS",4137733,1056,25.5
2002,8,"CHIHUAHUA",3167874,528,16.7
2002,9,"CIUDAD DE MEXICO",8751549,748,8.5
2002,5,"COAHUILA",2422563,131,5.4
2002,6,"COLIMA",558424,45,8.1
2002,10,"DURANGO",1502756,232,15.4
2002,11,"GUANAJUATO",4845931,208,4.3
2002,12,"GUERRERO",3158704,1035,32.8
2002,13,"HIDALGO",2331398,129,5.5
2002,14,"JALISCO",6613184,431,6.5
2002,15,"MEXICO",13634312,2870,21
2002,16,"MICHOACAN",4061978,428,10.5
2002,17,"MORELOS",1601020,226,14.1
2002,18,"NAYARIT",950875,117,12.3
2002,19,"NUEVO LEON",4042872,124,3.1
2002,20,"OAXACA",3545443,1427,40.2
2002,21,"PUEBLA",5311014,463,8.7
2002,22,"QUERETARO",1508741,71,4.7
2002,23,"QUINTANA ROO",987352,194,19.6
2002,24,"SAN LUIS POTOSI",2393415,245,10.2
2002,25,"SINALOA",2606531,485,18.6
2002,26,"SONORA",2327937,165,7.1
2002,27,"TABASCO",1971355,141,7.2
2002,28,"TAMAULIPAS",2910730,184,6.3
2002,29,"TLAXCALA",1027534,309,30.1
2002,30,"VERACRUZ",7129867,450,6.3
2002,31,"YUCATAN",1755676,30,1.7
2002,32,"ZACATECAS",1386698,104,7.5
2003,1,"AGUASCALIENTES",1036717,21,2
2003,2,"BAJA CALIFORNIA",2716612,479,17.6
2003,3,"BAJA CALIFORNIA SUR",482984,24,5
2003,4,"CAMPECHE",745529,55,7.4
2003,7,"CHIAPAS",4219579,921,21.8
2003,8,"CHIHUAHUA",3213827,471,14.7
2003,9,"CIUDAD DE MEXICO",8807884,715,8.1
2003,5,"COAHUILA",2467594,116,4.7
2003,6,"COLIMA",565772,34,6
2003,10,"DURANGO",1519368,216,14.2
2003,11,"GUANAJUATO",4906731,213,4.3
2003,12,"GUERRERO",3176903,808,25.4
2003,13,"HIDALGO",2358351,113,4.8
2003,14,"JALISCO",6712650,424,6.3
2003,15,"MEXICO",13843183,2741,19.8
2003,16,"MICHOACAN",4073837,440,10.8
2003,17,"MORELOS",1617074,173,10.7
2003,18,"NAYARIT",959824,95,9.9
2003,19,"NUEVO LEON",4124951,135,3.3
2003,20,"OAXACA",3569134,1571,44
2003,21,"PUEBLA",5383511,488,9.1
2003,22,"QUERETARO",1547001,71,4.6
2003,23,"QUINTANA ROO",1030697,228,22.1
2003,24,"SAN LUIS POTOSI",2421943,121,5
2003,25,"SINALOA",2628573,482,18.3
2003,26,"SONORA",2368275,203,8.6
2003,27,"TABASCO",1995453,150,7.5
2003,28,"TAMAULIPAS",2968478,244,8.2
2003,29,"TLAXCALA",1049132,286,27.3
2003,30,"VERACRUZ",7194356,501,7
2003,31,"YUCATAN",1789571,32,1.8
2003,32,"ZACATECAS",1394980,105,7.5
2004,1,"AGUASCALIENTES",1061561,17,1.6
2004,2,"BAJA CALIFORNIA",2792913,470,16.8
2004,3,"BAJA CALIFORNIA SUR",499719,36,7.2
2004,4,"CAMPECHE",759630,37,4.9
2004,7,"CHIAPAS",4301148,787,18.3
2004,8,"CHIHUAHUA",3259221,444,13.6
2004,9,"CIUDAD DE MEXICO",8861590,710,8
2004,5,"COAHUILA",2512460,103,4.1
2004,6,"COLIMA",573033,45,7.9
2004,10,"DURANGO",1535647,120,7.8
2004,11,"GUANAJUATO",4966732,194,3.9
2004,12,"GUERRERO",3194176,539,16.9
2004,13,"HIDALGO",2384978,123,5.2
2004,14,"JALISCO",6811151,370,5.4
2004,15,"MEXICO",14050307,2855,20.3
2004,16,"MICHOACAN",4084342,446,10.9
2004,17,"MORELOS",1632844,219,13.4
2004,18,"NAYARIT",968544,109,11.3
2004,19,"NUEVO LEON",4206813,117,2.8
2004,20,"OAXACA",3591899,1130,31.5
2004,21,"PUEBLA",5455057,468,8.6
2004,22,"QUERETARO",1585554,62,3.9
2004,23,"QUINTANA ROO",1074660,138,12.8
2004,24,"SAN LUIS POTOSI",2450078,199,8.1
2004,25,"SINALOA",2650082,515,19.4
2004,26,"SONORA",2408426,250,10.4
2004,27,"TABASCO",2019302,120,5.9
2004,28,"TAMAULIPAS",3026175,225,7.4
2004,29,"TLAXCALA",1070738,260,24.3
2004,30,"VERACRUZ",7257404,465,6.4
2004,31,"YUCATAN",1823424,30,1.6
2004,32,"ZACATECAS",1402836,55,3.9
2005,1,"AGUASCALIENTES",1086798,19,1.7
2005,2,"BAJA CALIFORNIA",2870428,539,18.8
2005,3,"BAJA CALIFORNIA SUR",516740,34,6.6
2005,4,"CAMPECHE",773981,51,6.6
2005,7,"CHIAPAS",4383744,415,9.5
2005,8,"CHIHUAHUA",3304999,550,16.6
2005,9,"CIUDAD DE MEXICO",8915004,698,7.8
2005,5,"COAHUILA",2557832,139,5.4
2005,6,"COLIMA",580362,35,6
2005,10,"DURANGO",1552034,189,12.2
2005,11,"GUANAJUATO",5027385,213,4.2
2005,12,"GUERRERO",3211466,755,23.5
2005,13,"HIDALGO",2411934,118,4.9
2005,14,"JALISCO",6910601,384,5.6
2005,15,"MEXICO",14259750,2313,16.2
2005,16,"MICHOACAN",4094663,427,10.4
2005,17,"MORELOS",1648761,160,9.7
2005,18,"NAYARIT",977302,93,9.5
2005,19,"NUEVO LEON",4289618,143,3.3
2005,20,"OAXACA",3614750,1053,29.1
2005,21,"PUEBLA",5527174,341,6.2
